Id_planet,Name,Distance,Stellar_magnitude,Planet_type,Discovery_year,Mass_multiplier,Mass_wrt,Radius_multiplier,Radius_wrt,Orbital_radius,Orbital_period,Eccentricity,Detection_method,Status_Exploration,ID_Vessel
285,GJ 676 A b,52.000000,9.580000,Gas Giant,2010,577.987976,Jupiter,1.140000,Jupiter,1.734000,2.900000,0.320000,Radial Velocity,0,0
286,GJ 676 A c,52.000000,9.580000,Gas Giant,2016,134.380997,Jupiter,1.100000,Jupiter,967.807983,38.099998,0.300000,Radial Velocity,0,0
287,GJ 676 A d,52.000000,9.580000,Super Earth,2012,379.832001,Earth,1.770000,Earth,39.321999,9.856000,0.190000,Radial Velocity,0,0
288,GJ 676 A e,52.000000,9.580000,Neptune-like,2012,669.166992,Earth,221.000000,Jupiter,180.707001,971.937012,0.150000,Radial Velocity,0,0
289,GJ 680 b,32.000000,10.129000,Gas Giant,2022,2.443000,Jupiter,1.070000,Jupiter,10.121000,47.299999,0.380000,Radial Velocity,0,0
290,GJ 682 b,16.000000,10.940000,Super Earth,2014,46.116001,Earth,1.930000,Earth,0.080000,4.791000,0.080000,Radial Velocity,0,0
291,GJ 682 c,16.000000,10.940000,Neptune-like,2014,46.210999,Earth,258.000000,Jupiter,176.000000,15.687000,0.100000,Radial Velocity,0,0
292,GJ 685 b,47.000000,9.980000,Neptune-like,2019,9.000000,Earth,263.000000,Jupiter,1.344000,66.254997,0.000000,Radial Velocity,0,0
293,GJ 687 b,15.000000,9.150000,Neptune-like,2014,46.070000,Earth,385.000000,Jupiter,163.000000,104.311996,0.170000,Radial Velocity,0,0
294,GJ 687 c,15.000000,9.150000,Neptune-like,2020,16.000000,Earth,369.000000,Jupiter,1.165000,2.000000,0.400000,Radial Velocity,0,0
295,GJ 720 A b,51.000000,9.840000,Neptune-like,2021,13.640000,Earth,336.000000,Jupiter,119.000000,5.338000,0.120000,Radial Velocity,0,0
296,GJ 740 b,36.000000,9.220000,Super Earth,2021,2.960000,Earth,1.530000,Earth,29.000000,6.570000,0.240000,Radial Velocity,0,0
297,GJ 832 b,16.000000,8.660000,Gas Giant,2008,0.680000,Jupiter,1.250000,Jupiter,3.560000,10.000000,0.080000,Radial Velocity,0,0
298,GJ 849 b,29.000000,10.410000,Gas Giant,2006,0.900000,Jupiter,1.240000,Jupiter,2.409000,5.200000,0.040000,Radial Velocity,0,0
299,GJ 849 c,29.000000,10.410000,Gas Giant,2014,702.000000,Jupiter,1.250000,Jupiter,4.974000,19.400000,0.100000,Radial Velocity,0,0
300,GJ 86 b,35.000000,6.120000,Gas Giant,1999,4.420000,Jupiter,1.150000,Jupiter,0.110000,4.325000,0.040000,Radial Velocity,0,0
301,GJ 876 b,15.000000,10.160000,Gas Giant,1998,312.679993,Jupiter,1.190000,Jupiter,208.317001,16.728001,0.030000,Radial Velocity,0,0
